"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",3.25537289499544,41.7239465626667,3.62909819341452,2.35318925224009,193.901991231953,8.86390668870005,"Crocodylus johnsoni","Crocodylus johnsoni"
"No-senescence",3.25537289499544,41.7239465626667,3.62909819341452,2.35318925224009,193.901991231953,8.86390668870005,"Crocodylus johnsoni","Crocodylus johnsoni"
"No-actuarial/Yes-reproductive",3.25537289499544,41.7239465626667,3.62909819341452,2.35318925224009,193.901991231953,8.86390668870005,"Crocodylus johnsoni","Crocodylus johnsoni"
"Yes-actuarial/No-reproductive",3.25537289499544,41.7239465626667,3.62909819341452,2.35318925224009,193.901991231953,8.86390668870005,"Crocodylus johnsoni","Crocodylus johnsoni"
