"age","sx","fx"
0,0.996641074856046,0
1,0.668271545498315,0
2,0.796109510086455,0.0010806916426513
3,0.854298642533937,0.00769230769230769
4,0.851694915254237,0.0248940677966102
5,0.812189054726368,0.0366915422885572
6,0.811638591117917,0.0497702909647779
7,0.786792452830189,0.0433962264150943
8,0.788968824940048,0.0623501199040767
9,0.844984802431611,0.0455927051671733
10,0.848920863309353,0.0593525179856115
11,0.817796610169492,0.0593220338983051
12,0.787564766839378,0.0595854922279793
13,0.763157894736842,0.0427631578947368
14,0.724137931034483,0.0517241379310345
15,0.678571428571429,0.0297619047619048
16,0.824561403508772,0.0263157894736842
17,0.51063829787234,0.0106382978723404
18,0.583333333333333,0.0208333333333333
19,0.142857142857143,0
20,0.5,0
21,0,0
