"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",3.47189913801038,12.886739550549,1.30951735925776,1.11235010075288,3.31908636049011,1.88697520706603,"Ovis aries","Ovis aries"
"No-senescence",3.65334541001888,19.391788435757,2.39785871089712,1.21657421632926,4.96122886785598,2.74334245771175,"Ovis aries","Ovis aries"
"No-actuarial/Yes-reproductive",3.65334541001888,19.391788435757,2.39785871089712,1.07942425496741,3.23714911579132,1.98425815153863,"Ovis aries","Ovis aries"
"Yes-actuarial/No-reproductive",3.47189913801038,12.886739550549,1.30951735925776,1.1356265411043,3.59301751257672,2.01464239961898,"Ovis aries","Ovis aries"
