"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",64.6190848138115,497939.241913098,21.1412075690863,1.31011560201353,4.54750737507785,1.75513953606054,"Pan troglodytes","Pan troglodytes"
"No-senescence",15.0385441120072,229.379980454197,1.08648328588257,1.32768926463142,4.95810823675103,2.02533105092635,"Pan troglodytes","Pan troglodytes"
"No-actuarial/Yes-reproductive",15.0385441120072,229.379980454197,1.08648328588257,1.28796956685435,4.40015835612585,1.76591302632744,"Pan troglodytes","Pan troglodytes"
"Yes-actuarial/No-reproductive",64.6190848138115,497939.241913098,21.1412075690863,8.36568196499341,10037.4249124867,21.151438382605,"Pan troglodytes","Pan troglodytes"
