"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",3.66588203312638,5.91572578752679,0.930701590066943,1.52917973477949,3.0612954064408,1.36418747752378,"Microtus oeconomus","Microtus oeconomus"
"No-senescence",3.68488587673041,6.66977687265715,1.56846898893599,1.60427238298847,3.72017428272217,1.7338579318401,"Microtus oeconomus","Microtus oeconomus"
"No-actuarial/Yes-reproductive",3.68488587673041,6.66977687265715,1.56846898893599,1.52631552737496,3.04466328144962,1.36018809760033,"Microtus oeconomus","Microtus oeconomus"
"Yes-actuarial/No-reproductive",3.66588203312638,5.91572578752679,0.930701590066943,1.59474562310964,3.5140920909958,1.50638195281853,"Microtus oeconomus","Microtus oeconomus"
