"age","sx","fx"
0,0.82,0
1,0.87804878,0
2,0.902777778,0
3,0.953846154,0
4,0.967741935,0
5,0.9,0
6,0.944444444,0
7,0.980392157,0
8,0.96,0.01130725224
9,0.9375,0.03232104292
10,0.955555556,0.0592508015
11,0.9999,0.08852461782
12,0.976744186,0.1165705809
13,0.976190476,0.13990774482
14,0.9999,0.15714730346
15,0.951219512,0.1689925905
16,0.9999,0.17623790386
17,0.974358974,0.17967753982
18,0.921052632,0.18011336162
19,0.942857143,0.17852121846
20,0.939393939,0.1760509496
21,0.9999,0.17385995634
22,0.935483871,0.17310564162
23,0.9999,0.17488586982
24,0.896551724,0.1789291168
25,0.9999,0.18359446908
26,0.961538462,0.18718147544
27,0.88,0.1879896822
28,0.909090909,0.18439279156
29,0.95,0.17647000568
30,0.842105263,0.16600602996
31,0.9999,0.1548597224
32,0.9375,0.14488994182
33,0.866666667,0.1378919134
34,0.923076923,0.13419735502
35,0.9999,0.13267447152
36,0.833333333,0.1321278382
37,0.9999,0.13136203036
38,0.9999,0.1292098149
39,0.7,0.1251524016
40,0.9999,0.11931944476
41,0.9999,0.111868787
42,0.857142857,0.10295827586
43,0.833333333,0.0927622171
44,0.9999,0.0818335564
45,0.4,0.07110387362
46,0.5,0.06152121258
47,0.9999,0.05403361628
48,0.9999,0.04949863908
49,0.9999,0.04669259334
50,0.9999,0.04231054778
51,0.9999,0
52,0.9999,0
53,0.9999,0
54,0.9999,0
