"age","sx","fx"
0,0.967129440587995,0
1,0.974773063120118,0
2,0.976394152680022,0
3,0.978041477209715,0
4,0.978115432588729,0
5,0.981219568745653,0
6,0.984286389413989,0
7,0.984395630776617,0
8,0.984270210949884,0
9,0.989345887016848,0
10,0.994615577260205,0
11,0.994460531285409,0.0604455900367497
12,0.994556272945943,0.0571573499387505
13,0.994399185336049,0.119440485912617
14,0.997311827956989,0.102419007758269
15,0.9999,0.106674377296856
16,0.9999,0.0806585953450388
17,0.9999,0.127370947325439
18,0.9999,0.111800163331972
19,0.9999,0.105320396080033
20,0.998203054806828,0.102612433646386
25,0.982383952680982,0.0900397509187423
30,0.978664921465969,0.0720511433238056
35,0.946770094957871,0.0581244793793385
40,0.940104534538777,0.0370410575745202
45,0.88114199849737,0.0178918946508779
50,0.877557980900409,0.00706004491629236
55,0.846482705013603,0.00251453654552879
60,0.830348943985308,0.000870416496529196
65,0.699751175006912,0
70,0.699328328723825,0
75,0.699435028248588,0
80,0.69951534733441,0
85,0.362586605080831,0
90,0,0
