"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",3.54430379746835,4.75436628745394,1.04637669590273,1.82297142857143,3.03681158548753,1.16163398400151,"Microtus oeconomus","Microtus oeconomus"
"No-senescence-peak",3.56962025316456,5.71350745072905,1.93815461107744,1.92288179271709,3.82073532726094,1.5752328344921,"Microtus oeconomus","Microtus oeconomus"
"No-senescence-early",3.76294591484465,6.86932058196862,1.777122544668,1.89211948051948,4.01042531667475,1.72517917664428,"Microtus oeconomus","Microtus oeconomus"
"No-senescence-late",3.62447257383966,6.13183428581602,1.83457773322901,1.91103492063492,3.59376967180946,1.35864811622648,"Microtus oeconomus","Microtus oeconomus"
