"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",2.42222222222222,5.69283950617284,1.97620777246431,0.208888888888889,0.382597648372372,3.80343161558908,"Marmota flaviventris","Marmota flaviventris"
"No-senescence-peak",2.43238095238095,5.88878367346939,2.06649814508144,0.213015873015873,0.401589005963618,3.87969425897675,"Marmota flaviventris","Marmota flaviventris"
"No-senescence-early",2.45449275362319,6.75773795421131,2.73253715522489,0.215507246376812,0.434162988174444,4.2480545847754,"Marmota flaviventris","Marmota flaviventris"
"No-senescence-late",2.43238095238095,5.88878367346939,2.06649814508144,0.213015873015873,0.401589005963618,3.87969425897675,"Marmota flaviventris","Marmota flaviventris"
