"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",138.788743456987,2428171.54848919,19.1323852889408,1.60119271737163,5.09519927354846,1.46488424245555,"Pan troglodytes","Pan troglodytes"
"No-senescence-peak",17.1470710861287,227.397250673501,0.900027643592599,1.62284407716959,5.58679243334955,1.73613357118187,"Pan troglodytes","Pan troglodytes"
"No-senescence-early",17.6172570759746,336.90537303883,1.8938356998451,1.66224389166144,8.37648990912717,2.6617743705312,"Pan troglodytes","Pan troglodytes"
"No-senescence-late",17.1785689994867,218.686826515068,0.651548162687407,1.60996699244507,5.17767800632709,1.48128738980462,"Pan troglodytes","Pan troglodytes"
