"species","Model_Code","Metric_Code","Trait_Code","pct_change","Model","Metric"
"Panthera leo","NoEarly","Var","LRO",-64.6113879458144,"No-senescence-early","Variance LRO"
"Panthera leo","NoEarly","Skew","LRO",-76.1732782453972,"No-senescence-early","Skewness LRO"
"Panthera leo","NoLate","Mean","LRO",-2.16674461107885,"No-senescence-late","Mean LRO"
"Panthera leo","NoLate","Var","LRO",-5.29736781170684,"No-senescence-late","Variance LRO"
"Panthera leo","NoLate","Skew","LRO",-1.57592139145607,"No-senescence-late","Skewness LRO"
"Papio cynocephalus","NoPeak","Mean","Lifespan",-0.036608170267131,"No-senescence-peak","Mean Lifespan"
"Papio cynocephalus","NoPeak","Var","Lifespan",-0.290078451913397,"No-senescence-peak","Variance Lifespan"
"Papio cynocephalus","NoPeak","Skew","Lifespan",-2.5329253732221,"No-senescence-peak","Skewness Lifespan"
"Papio cynocephalus","NoEarly","Mean","Lifespan",-2.71784722118237,"No-senescence-early","Mean Lifespan"
"Papio cynocephalus","NoEarly","Var","Lifespan",-65.4220228816669,"No-senescence-early","Variance Lifespan"
"Papio cynocephalus","NoEarly","Skew","Lifespan",-415.565005728014,"No-senescence-early","Skewness Lifespan"
"Papio cynocephalus","NoLate","Mean","Lifespan",-0.00798453997682328,"No-senescence-late","Mean Lifespan"
"Papio cynocephalus","NoLate","Var","Lifespan",-0.0583924008960141,"No-senescence-late","Variance Lifespan"
"Papio cynocephalus","NoLate","Skew","Lifespan",-0.472221591503107,"No-senescence-late","Skewness Lifespan"
"Papio cynocephalus","NoPeak","Mean","LRO",-0.516257738794611,"No-senescence-peak","Mean LRO"
"Papio cynocephalus","NoPeak","Var","LRO",-1.58800138181294,"No-senescence-peak","Variance LRO"
"Papio cynocephalus","NoPeak","Skew","LRO",-1.29948095001995,"No-senescence-peak","Skewness LRO"
"Papio cynocephalus","NoEarly","Mean","LRO",-5.52900960735276,"No-senescence-early","Mean LRO"
"Papio cynocephalus","NoEarly","Var","LRO",-59.5606143691579,"No-senescence-early","Variance LRO"
"Papio cynocephalus","NoEarly","Skew","LRO",-72.5784803333117,"No-senescence-early","Skewness LRO"
"Papio cynocephalus","NoLate","Mean","LRO",-0.137561629749684,"No-senescence-late","Mean LRO"
"Papio cynocephalus","NoLate","Var","LRO",-0.41072736091348,"No-senescence-late","Variance LRO"
"Papio cynocephalus","NoLate","Skew","LRO",-0.307796346012996,"No-senescence-late","Skewness LRO"
"Parus major","NoPeak","Mean","Lifespan",-0.275452164597298,"No-senescence-peak","Mean Lifespan"
"Parus major","NoPeak","Var","Lifespan",-4.70057403769966,"No-senescence-peak","Variance Lifespan"
"Parus major","NoPeak","Skew","Lifespan",-15.3085474743129,"No-senescence-peak","Skewness Lifespan"
"Parus major","NoEarly","Mean","Lifespan",0.181577423256906,"No-senescence-early","Mean Lifespan"
"Parus major","NoEarly","Var","Lifespan",-3.07368971072939,"No-senescence-early","Variance Lifespan"
"Parus major","NoEarly","Skew","Lifespan",-20.6552125300101,"No-senescence-early","Skewness Lifespan"
"Parus major","NoLate","Mean","Lifespan",-0.00503930659142624,"No-senescence-late","Mean Lifespan"
"Parus major","NoLate","Var","Lifespan",-0.113531712411079,"No-senescence-late","Variance Lifespan"
"Parus major","NoLate","Skew","Lifespan",-0.564083424048544,"No-senescence-late","Skewness Lifespan"
"Parus major","NoPeak","Mean","LRO",-1.02263399333225,"No-senescence-peak","Mean LRO"
"Parus major","NoPeak","Var","LRO",-2.42313616498252,"No-senescence-peak","Variance LRO"
"Parus major","NoPeak","Skew","LRO",-1.81972098889447,"No-senescence-peak","Skewness LRO"
"Parus major","NoEarly","Mean","LRO",2.71038806030088,"No-senescence-early","Mean LRO"
"Parus major","NoEarly","Var","LRO",2.72401223438147,"No-senescence-early","Variance LRO"
"Parus major","NoEarly","Skew","LRO",-2.41003999218598,"No-senescence-early","Skewness LRO"
"Parus major","NoLate","Mean","LRO",-0.0257378174330857,"No-senescence-late","Mean LRO"
"Parus major","NoLate","Var","LRO",-0.0627752337132437,"No-senescence-late","Variance LRO"
"Parus major","NoLate","Skew","LRO",-0.0506126016347169,"No-senescence-late","Skewness LRO"
"Rupicapra rupicapra","NoPeak","Mean","Lifespan",-2.82712145891221,"No-senescence-peak","Mean Lifespan"
"Rupicapra rupicapra","NoPeak","Var","Lifespan",-22.7574155029001,"No-senescence-peak","Variance Lifespan"
"Rupicapra rupicapra","NoPeak","Skew","Lifespan",233.167470457997,"No-senescence-peak","Skewness Lifespan"
"Rupicapra rupicapra","NoEarly","Mean","Lifespan",-7.35073707551432,"No-senescence-early","Mean Lifespan"
"Rupicapra rupicapra","NoEarly","Var","Lifespan",-59.8044414801995,"No-senescence-early","Variance Lifespan"
"Rupicapra rupicapra","NoEarly","Skew","Lifespan",442.431153550814,"No-senescence-early","Skewness Lifespan"
"Rupicapra rupicapra","NoLate","Mean","Lifespan",0.0205313513735397,"No-senescence-late","Mean Lifespan"
"Rupicapra rupicapra","NoLate","Var","Lifespan",0.102333974208614,"No-senescence-late","Variance Lifespan"
"Rupicapra rupicapra","NoLate","Skew","Lifespan",0.593821403341203,"No-senescence-late","Skewness Lifespan"
"Rupicapra rupicapra","NoPeak","Mean","LRO",-8.59740339389078,"No-senescence-peak","Mean LRO"
"Rupicapra rupicapra","NoPeak","Var","LRO",-21.0613953231455,"No-senescence-peak","Variance LRO"
"Rupicapra rupicapra","NoPeak","Skew","LRO",-11.9185850513914,"No-senescence-peak","Skewness LRO"
"Rupicapra rupicapra","NoEarly","Mean","LRO",-11.4470007851982,"No-senescence-early","Mean LRO"
"Rupicapra rupicapra","NoEarly","Var","LRO",-34.7993328920446,"No-senescence-early","Variance LRO"
"Rupicapra rupicapra","NoEarly","Skew","LRO",-23.5351177987555,"No-senescence-early","Skewness LRO"
"Rupicapra rupicapra","NoLate","Mean","LRO",-0.868183133107019,"No-senescence-late","Mean LRO"
"Rupicapra rupicapra","NoLate","Var","LRO",-2.2018633110444,"No-senescence-late","Variance LRO"
"Rupicapra rupicapra","NoLate","Skew","LRO",-1.54814425341989,"No-senescence-late","Skewness LRO"
