"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",4.54833333333333,2.50766388888889,0.26651955706375,1.00247666666667,1.23158316078889,1.24316632912376,"Rupicapra rupicapra","Rupicapra rupicapra"
"No-senescence-peak",4.71225925925926,3.71631374348424,1.14290923320251,1.08866362962963,1.49725765000782,1.43767441114998,"Rupicapra rupicapra","Rupicapra rupicapra"
"No-senescence-early",4.97455357142857,5.66997801073553,1.57728118147407,1.11723017857143,1.68146096189923,1.61613511820235,"Rupicapra rupicapra","Rupicapra rupicapra"
"No-senescence-late",4.54714285714286,2.50302925170068,0.275055385978041,1.01118,1.2596214002734,1.26826872657129,"Rupicapra rupicapra","Rupicapra rupicapra"
