"model","mean_lifespan","var_lifespan","skew_lifespan","mean_LRO","var_LRO","skew_LRO","species","sheet"
"Senescence",2.23401380966677,1.4905692690978,1.39794971190343,0.218703092164515,0.267358300872316,2.74263915249273,"Parus major","Parus major"
"No-senescence-peak",2.2401674490629,1.56063458117494,1.61195550721718,0.220939624329458,0.273836756550835,2.79254753280028,"Parus major","Parus major"
"No-senescence-early",2.22995734495597,1.53638474335335,1.68669919595974,0.212775389666979,0.260075428046919,2.80873785290916,"Parus major","Parus major"
"No-senescence-late",2.23412638847193,1.49226153791368,1.40583531450481,0.218759381567097,0.26752613567054,2.74402727352126,"Parus major","Parus major"
